City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,jefferson city,38.5767,-92.1735,7.13,55,11,5.72,US,1702166388
286,san antonio de pale,-1.4014,5.6325,27.23,80,65,5.84,GQ,1702166527
287,boali,4.8005,18.1275,24.15,55,73,0.78,CF,1702166588
288,al khafji,28.4391,48.4913,20.23,35,21,3.52,SA,1702166588
289,zheshart,62.0731,49.5733,-28.99,100,10,0.72,RU,1702166588
290,great falls,47.5002,-111.3008,2.25,34,0,10.8,US,1702166588
291,pljevlja,43.3333,19.3333,-0.21,61,69,2.18,ME,1702166588
292,lompoc,34.6391,-120.4579,22.08,55,0,2.57,US,1702166589
293,luderitz,-26.6481,15.1594,14.8,88,0,13.24,NA,1702166508
294,vilyuchinsk,52.9306,158.4028,1.15,98,100,7.22,RU,1702166589
295,miandrivazo,-19.5167,45.4667,27.49,73,2,1.01,MG,1702166589
296,sola,-13.8833,167.55,26.49,78,97,8.67,VU,1702166589
297,howrah,22.5892,88.3103,18.0,88,0,0.0,IN,1702166513
298,novosergiyevka,52.0934,53.6528,-14.87,76,100,3.88,RU,1702166590
299,saint pete beach,27.7253,-82.7412,23.99,76,59,2.27,US,1702166418
300,meadow lake,34.8014,-106.5436,4.15,29,0,1.72,US,1702166590
301,plainview,40.7765,-73.4673,10.7,88,0,0.89,US,1702166590
302,arteche,12.2645,125.4048,27.21,81,98,2.8,PH,1702166591
303,rio grande,-32.035,-52.0986,20.06,76,30,8.67,BR,1702166591
304,celestun,20.8667,-90.4,26.48,79,69,4.85,MX,1702166591
305,giza,30.0081,31.2109,15.41,43,34,1.86,EG,1702166411
306,tura,25.5198,90.2201,14.46,71,6,1.32,IN,1702166591
307,saint-francois,46.4154,3.9054,10.69,73,40,5.14,FR,1702166592
308,rongelap,11.1635,166.8941,27.56,74,54,8.45,MH,1702166592
309,lerwick,60.1545,-1.1494,8.0,89,100,10.36,GB,1702166592
310,labuan,5.2767,115.2417,27.2,94,20,0.51,MY,1702166593
311,yung shue wan,22.2333,114.1167,24.68,84,80,4.76,HK,1702166593
312,comstock northwest,42.3218,-85.5176,7.14,70,75,5.66,US,1702166593
313,saint-joseph,-21.3667,55.6167,24.21,86,29,3.5,RE,1702166594
314,piti village,13.4626,144.6933,29.83,79,0,6.69,GU,1702166594
315,lillehammer,61.1146,10.4674,-3.0,98,100,1.19,NO,1702166594
316,flin flon,54.7682,-101.865,-8.09,79,20,3.09,CA,1702166595
317,sadri,25.1833,73.4333,15.89,44,6,1.21,IN,1702166595
318,zaozersk,69.4005,32.4476,-15.85,92,90,5.42,RU,1702166595
319,georgievka,49.3314,81.5761,-25.32,91,6,1.77,KZ,1702166595
320,jeanerette,29.911,-91.6635,23.05,92,81,3.03,US,1702166596
321,hasaki,35.7333,140.8333,9.22,57,1,2.73,JP,1702166596
322,iskateley,67.6803,53.1512,-27.21,92,7,2.68,RU,1702166577
323,curup,-3.4667,102.5333,20.89,96,100,0.86,ID,1702166596
324,denison,33.7557,-96.5367,12.19,50,0,6.69,US,1702166596
325,the pas,53.8251,-101.2541,-6.99,79,75,2.57,CA,1702166597
326,rangeville,-27.585,151.9784,22.87,71,53,2.68,AU,1702166597
327,bereznik,62.8551,42.7072,-19.86,85,23,3.65,RU,1702166597
328,punta arenas,-53.15,-70.9167,13.06,58,75,5.66,CL,1702166598
329,sur,22.5667,59.5289,22.5,54,1,2.86,OM,1702166598
330,upata,8.0086,-62.3989,25.11,83,45,2.36,VE,1702166598
331,novodvinsk,64.4165,40.8122,-20.12,97,60,4.22,RU,1702166599
